7
2.30952e-08,7.75056e-08,5.55147e-08,3.52775e-08,2.50743e-08,3.52775e-08,2.52597e-08
-84.8177,-105.334,-102.435,-98.4972,-95.5318,-98.4972,-95.5958
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
90.5789,90.1725,90.2408,90.379,112.924,90.379,66.1011
210,255.046,111.117,199.107,210,340.893,210
89.4211,89.8275,89.7592,89.621,112.924,89.621,66.1011
30,284.954,68.8833,160.893,30,19.1066,30
7
2.30952e-08,7.75056e-08,5.55147e-08,3.52775e-08,2.52597e-08,3.52775e-08,2.50743e-08
-84.8177,-105.334,-102.435,-98.4972,-95.5958,-98.4972,-95.5318
0,3.14159,3.14159,3.14159,3.14159,3.14159,3.14159
89.4211,89.8275,89.7592,89.621,113.899,89.621,67.0761
210,255.046,111.117,199.107,210,340.893,210
90.5789,90.1725,90.2408,90.379,113.899,90.379,67.0761
30,284.954,68.8833,160.893,30,19.1066,30
